aalib 1.4rc5-12
libxrandr 1.5.1-2
libxrender 0.9.10-1
libxres 1.2.0-1
libxshmfence 1.3-1
libxslt 1.1.32+3+g32c88216-1
libxss 1.2.3-1
libxt 1.1.5-2
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-2
libxxf86vm 1.1.4-2
libyaml 0.2.1-1
libzip 1.5.1-1
libzmf 0.0.2-5
licenses 20171006-1
linux-api-headers 4.17.11-1
linux-firmware 20181018.d877533-1
linux-lts 4.14.79-1
linux-lts-headers 4.14.79-1
llvm-libs 7.0.0-1
lm_sensors 3.4.0+5176+dcf23676-1
lmdb 0.9.22-1
logrotate 3.14.0-1
lokalize 18.08.2-1
lpsolve 5.5.2.5-2
lskat 18.08.2-1
lvm2 2.02.182-1
lz4 1:1.8.3-1
lzo 2.10-1
m4 1.4.18-1
mailcap 2.1.48+14+g5811758-1
mailcommon 18.08.2-1
mailimporter 18.08.2-1
make 4.2.1-2
man-db 2.8.4-1
man-pages 4.16-2
marble 18.08.2-2
marble-common 18.08.2-2
mariadb 10.1.36-1
mariadb-clients 10.1.36-1
mbox-importer 18.08.2-1
mdadm 4.0-1
media-player-info 23-1
mesa 18.2.4-1
messagelib 18.08.2-1
milou 5.14.3-1
minizip 1:1.2.11-3
minuet 18.08.2-1
mkinitcpio 25-1
mkinitcpio-busybox 1.29.3-1
mlocate 0.26.git.20170220-1
mlt 6.10.0-1
mobile-broadband-provider-info 20170310-1
modemmanager 1.8.2-1
modemmanager-qt 5.51.0-1
molequeue 0.9.0-1
mono 5.16.0.179-1
mozilla-common 1.4-5
mpfr 4.0.1-1
mpg123 1.25.10-1
mtdev 1.1.5-2
nano 3.1-1
nbfc-git 1.5.3.r65.ga2465ad-2
ncurses 6.1-4
ndctl 63-1
neon 0.30.2-3
net-snmp 5.8-1
net-tools 1.60.20180212git-1
netctl 1.18-1
netpbm 10.73.18-1
nettle 3.4-1
network-manager-applet 1.8.19dev+21+geebf7f95-1
networkmanager 1.14.5dev+17+gba83251bb-1
networkmanager-qt 5.51.0-1
nm-connection-editor 1.8.19dev+21+geebf7f95-1
node-gyp 3.8.0-1
nodejs 11.1.0-1
noto-fonts 20181024-1
npm 6.4.1-1
npth 1.6-1
nspr 4.20-1
nss 3.40-1
numactl 2.0.12-1
nvidia-utils 410.66-1
okteta 1:0.25.4-1
okular 18.08.2-1
openal 1.19.1-1
openbabel 2.4.1-5
opencore-amr 0.1.5-1
opencv 3.4.3-5
openexr 2.3.0-1
openjdk8-src 8.u192-1
openjpeg2 2.3.0-3
openresolv 3.9.0-1
openssh 7.9p1-1
openssl 1.1.1-1
openssl-1.0 1.0.2.p-1
opus 1.3-1
orc 0.4.28-1
oxygen 5.14.3-1
oxygen-icons 1:5.51.0-1
p11-kit 0.23.14-1
pacaur 4.7.10-1
pacman 5.1.1-1
pacman-contrib 1.1.0-1
pacman-mirrorlist 20180912-1
palapeli 18.08.2-1
pam 1.3.1-1
pambase 20171006-1
pango 1.42.4-1
papirus-icon-theme 20181007-1
parley 18.08.2-1
parted 3.2-7
patch 2.7.6-3
pciutils 3.6.1-1
pcmciautils 018-7
pcre 8.42-1
pcre2 10.32-1
perf 4.19-1
perl 5.28.0-1
perl-error 0.17027-1
perl-file-which 1.22-2
perl-mailtools 2.20-2
perl-timedate 2.30-5
phonon-qt4 4.10.1-1
phonon-qt4-gstreamer 4.9.0-4
phonon-qt5 4.10.1-2
phonon-qt5-gstreamer 4.9.0-5
picmi 18.08.2-1
pim-data-exporter 18.08.2-1
pim-sieve-editor 18.08.2-1
pimcommon 18.08.2-1
pinentry 1.1.0-4
pipewire 0.2.3+17+g10ce1a02-1
pixman 0.34.0-1
pkgconf 1.5.4-1
plasma-browser-integration 5.14.3-1
plasma-desktop 5.14.3-1
plasma-framework 5.51.0-1
plasma-integration 5.14.3-1
plasma-meta 5.14-1
plasma-nm 5.14.3-1
plasma-pa 5.14.3-1
plasma-sdk 5.14.3-1
plasma-vault 5.14.3-1
plasma-wayland-session 5.14.3-1
plasma-workspace 5.14.3-1
plasma-workspace-wallpapers 5.14.3-1
polkit 0.115+3+g8638ec5-1
polkit-kde-agent 5.14.3-1
polkit-qt4 0.112.0+git20180107-1
polkit-qt5 0.112.0+git20180107-2
poppler 0.71.0-1
poppler-data 0.4.9-1
poppler-glib 0.71.0-1
poppler-qt5 0.71.0-1
popt 1.16-9
portaudio 190600_20161030-1
potrace 1.15-1
powerdevil 5.14.3-1
poxml 18.08.2-1
ppp 2.4.7-4
print-manager 18.08.2-1
prison 5.51.0-1
procps-ng 3.3.15-1
proot-3.2.1 3.2.1-1
protobuf 3.6.1-1
psmisc 23.2-1
pulseaudio 12.2-2
purpose 5.51.0-1
pygobject-devel 3.30.1-3
pyqt5-common 5.11.3-1
python 3.7.1-1
python-appdirs 1.4.3-2
python-attrs 18.2.0-1
python-automat 0.7.0-2
python-click 7.0-1
python-constantly 15.1.0-3
python-docutils 0.14-2
python-gobject 3.30.1-3
python-hyperlink 18.0.0-2
python-idna 2.7-3
python-incremental 17.5.0-2
python-packaging 18.0-1
python-pyhamcrest 1.9.0-3
python-pyparsing 2.3.0-1
python-pyqt5 5.11.3-1
python-setuptools 1:40.5.0-1
python-sip 4.19.13-1
python-sip-pyqt5 4.19.13-1
python-six 1.11.0-3
python-twisted 18.9.0-1
python-xdg 0.26-2
python-zope-interface 4.6.0-1
python2 2.7.15-2
python2-appdirs 1.4.3-2
python2-asn1crypto 0.24.0-2
python2-attrs 18.2.0-1
python2-automat 0.7.0-2
python2-cffi 1.11.5-2
python2-chardet 3.0.4-2
python2-click 7.0-1
python2-constantly 15.1.0-3
python2-cryptography 2.3.1-1
python2-enum34 1.1.6-1
python2-hyperlink 18.0.0-2
python2-idna 2.7-3
python2-incremental 17.5.0-2
python2-ipaddress 1.0.22-1
python2-packaging 18.0-1
python2-ply 3.11-2
python2-pycparser 2.19-1
python2-pyhamcrest 1.9.0-3
python2-pyopenssl 18.0.0-2
python2-pyparsing 2.3.0-1
python2-setuptools 1:40.5.0-1
python2-six 1.11.0-3
python2-twisted 18.9.0-1
python2-xdg 0.26-2
python2-zope-interface 4.6.0-1
qca 2.1.3-2
qgpgme 1.12.0-1
qhull 2015.2-2
qimageblitz 0.0.6-5
qjson 0.9.0-1
qqc2-desktop-style 5.51.0-1
qrencode 4.0.2-1
qt-gstreamer 1.2.0-1
qt4 4.8.7-26
qt5-base 5.11.2-3
qt5-datavis3d 5.11.2-1
qt5-declarative 5.11.2-1
qt5-graphicaleffects 5.11.2-1
qt5-location 5.11.2-2
qt5-multimedia 5.11.2-1
qt5-quickcontrols 5.11.2-1
qt5-quickcontrols2 5.11.2-1
qt5-script 5.11.2-1
qt5-sensors 5.11.2-1
qt5-speech 5.11.2-1
qt5-svg 5.11.2-1
qt5-tools 5.11.2-2
qt5-wayland 5.11.2-1
qt5-webchannel 5.11.2-1
qt5-webengine 5.11.2-2
qt5-webkit 5.212.0alpha2-21
qt5-websockets 5.11.2-1
qt5-x11extras 5.11.2-1
qt5-xmlpatterns 5.11.2-1
qtermwidget 0.9.0-1
qtkeychain 0.9.1-1
qtspim 9.1.20-2
raptor 2.0.15-10
rasqal 1:0.9.33-2
re2 20181001-1
readline 7.0.005-1
redland 1:1.0.17-4
redshift 1.12-2
reiserfsprogs 3.6.27-1
rest 0.8.1-1
rhash 1.3.6-1
rocs 18.08.2-1
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
ruby 2.5.3-1
rubygems 2.7.7-1
run-parts 4.8.6-1
s-nail 14.9.11-1
sane 1.0.27-2
sbc 1.4-1
scala 2.12.7-1
sddm 0.18.0-1
sddm-kcm 5.14.3-1
sdl 1.2.15-9
sdl2 2.0.9-1
sdl_image 1.2.12-4
sed 4.5-1
semver 5.6.0-1
shadow 4.6-1
shared-mime-info 1.10-1
signon-kwallet-extension 18.08.2-1
signon-plugin-oauth2 0.24-1
signon-ui 0.17+20150611-1
signond 8.60-1
sip 4.19.13-1
slang 2.3.2-1
smbclient 4.8.5-1
snappy 1.1.7-1
socat 1.7.3.2-2
solid 5.51.0-1
sonnet 5.51.0-1
sound-theme-freedesktop 0.8-3
spectacle 18.08.2-1
speech-dispatcher 0.8.8-2
speex 1.2.0-1
speexdsp 1.2rc3-3
spglib 1.10.4-1
spotify 1.0.66.478-1
sqlite 3.25.2-1
stack 1.9.1-12
startup-notification 0.12-5
step 18.08.2-2
sudo 1.8.25.p1-1
sweeper 18.08.2-1
syndication 5.51.0-1
syntax-highlighting 5.51.0-1
sysfsutils 2.1.0-10
systemd 239.300-1
systemd-sysvcompat 239.300-1
systemsettings 5.14.3-1
t1lib 5.1.2-6
taglib 1.11.1-1
talloc 2.1.14-1
tar 1.30-1
tcl 8.6.8-3
tdb 1.3.16-1
telepathy-accounts-signon 1.0-4
telepathy-farstream 0.6.2-4
telepathy-glib 0.24.1-2
telepathy-kde-accounts-kcm 18.08.2-1
telepathy-kde-approver 18.08.2-1
telepathy-kde-auth-handler 18.08.2-1
telepathy-kde-call-ui 18.08.2-1
telepathy-kde-common-internals 18.08.2-1
telepathy-kde-contact-list 18.08.2-1
telepathy-kde-contact-runner 18.08.2-1
telepathy-kde-desktop-applets 18.08.2-1
telepathy-kde-filetransfer-handler 18.08.2-1
telepathy-kde-integration-module 18.08.2-1
telepathy-kde-send-file 18.08.2-1
telepathy-kde-text-ui 18.08.2-1
telepathy-logger 0.8.2-2
telepathy-logger-qt 17.08.0-1
telepathy-mission-control 5.16.4-3
telepathy-qt 0.9.7-1
tensorflow 1.11.0-2
tevent 1:0.9.37-1
texinfo 6.5-2
texlive-bibtexextra 2018.48548-1
texlive-bin 2018.47465-5
texlive-core 2018.48566-1
texlive-fontsextra 2018.48561-1
texlive-formatsextra 2018.47496-1
texlive-games 2018.48514-1
texlive-humanities 2018.48491-1
texlive-latexextra 2018.48568-1
texlive-music 2018.48353-1
texlive-pictures 2018.48511-1
texlive-pstricks 2018.48533-1
texlive-publishers 2018.48567-1
texlive-science 2018.48515-1
thin-provisioning-tools 0.7.6-1
threadweaver 5.51.0-1
tidy 5.7.16-1
tk 8.6.8-3
tmon 4.19-1
tslib 1.17-1
ttf-anonymous-pro 1.003-3
ttf-dejavu 2.37-2
ttf-fira-mono 2:3.206-2
ttf-fira-sans 1:4.301-1
ttf-hack 3.003-1
ttf-liberation 2.00.1-7
turbostat 4.19-1
twolame 0.3.13-8
tzdata 2018g-1
udisks2 2.8.1-1
umbrello 18.08.2-2
unzip 6.0-12
upower 0.99.9-1
usbip 4.19-1
usbmuxd 1.1.0+48+g1cc8b34-1
usbutils 010-1
user-manager 5.14.3-1
util-linux 2.32.1-2
v4l-utils 1.16.1-1
vi 1:070224-3
vid.stab 1.1-2
virtualbox 5.2.20-1
virtualbox-host-dkms 5.2.20-1
volume_key 0.3.11-2
wavpack 5.1.0-2
wayland 1.16.0-1
wayland-protocols 1.16-1
wcslib 6.2-1
webkit2gtk 2.22.3-1
webrtc-audio-processing 0.3.1-1
wget 1.19.5-1
which 2.21-2
woff2 1.0.2-1
wpa_actiond 1.4-3
wpa_supplicant 1:2.6-12
x264 2:155.r0a84d986-2
x265 2.9-1
x86_energy_perf_policy 4.19-1
xapian-core 1:1.4.8-1
xbitmaps 1.1.2-1
xcb-proto 1.13-2
xcb-util 0.4.0-2
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-2
xcb-util-keysyms 0.4.0-2
xcb-util-renderutil 0.3.9-2
xcb-util-wm 0.4.1-2
xclip 0.13-2
xdg-desktop-portal-kde 5.14.3-1
xdg-utils 1.1.3-3
xerces-c 3.2.2-1
xf86-input-libinput 0.28.1-1
xf86-input-synaptics 1.9.1-1
xf86-video-intel 1:2.99.917+853+g0932a6b3-1
xf86-video-vesa 2.4.0-2
xfsprogs 4.18.0-1
xkeyboard-config 2.25-1
xmlsec 1.2.27-1
xorg-bdftopcf 1.1-1
xorg-docs 1.7.1-2
xorg-font-util 1.3.1-2
xorg-font-utils 7.6-5
xorg-fonts-100dpi 1.0.3-3
xorg-fonts-75dpi 1.0.3-3
xorg-fonts-alias 1.0.3-2
xorg-fonts-encodings 1.0.4-5
xorg-iceauth 1.0.8-1
xorg-luit 1.1.1-3
xorg-mkfontdir 1.0.7-9
xorg-mkfontscale 1.1.3-1
xorg-server 1.20.3-1
xorg-server-common 1.20.3-1
xorg-server-devel 1.20.3-1
xorg-server-xdmx 1.20.3-1
xorg-server-xephyr 1.20.3-1
xorg-server-xnest 1.20.3-1
xorg-server-xvfb 1.20.3-1
xorg-server-xwayland 1.20.3-1
xorg-sessreg 1.1.1-1
xorg-setxkbmap 1.3.1-2
xorg-smproxy 1.0.6-2
xorg-twm 1.0.10-1
xorg-util-macros 1.19.2-1
xorg-x11perf 1.6.0-2
xorg-xauth 1.0.10-1
xorg-xbacklight 1.2.2-1
xorg-xclock 1.0.7-2
xorg-xcmsdb 1.0.5-2
xorg-xcursorgen 1.0.6-2
xorg-xdpyinfo 1.3.2-2
xorg-xdriinfo 1.0.6-1
xorg-xev 1.2.2-2
xorg-xgamma 1.0.6-2
xorg-xhost 1.0.7-2
xorg-xinput 1.6.2-2
xorg-xkbcomp 1.4.2-1
xorg-xkbevd 1.1.4-2
xorg-xkbutils 1.0.4-3
xorg-xkill 1.0.5-1
xorg-xlsatoms 1.1.2-2
xorg-xlsclients 1.1.4-1
xorg-xmessage 1.0.5-1
xorg-xmodmap 1.0.9-2
xorg-xpr 1.0.5-1
xorg-xprop 1.2.3-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.1-1
xorg-xrefresh 1.0.6-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorg-xvinfo 1.1.3-2
xorg-xwd 1.0.7-1
xorg-xwininfo 1.1.4-1
xorg-xwud 1.0.5-1
xorgproto 2018.4-1
xterm 337-1
xvidcore 1.3.5-1
xz 5.2.4-1
yajl 2.1.0-2
zeroconf-ioslave 18.08.2-1
zeromq 4.2.5-1
zip 3.0-8
zita-alsa-pcmi 0.3.2-1
zita-resampler 1.6.2-1
zlib 1:1.2.11-3
zstd 1.3.6-1
zziplib 0.13.69-1
